Cultural,Genético,SPF,ciclo,destino,origem
0.001,0.001,0.001,0,BE,NL
0.001,0.001,0.001,0,DK,NL
0.338,0.338,0.338,0,DE,NL
0.001,0.001,0.001,0,UK,NL
0.001,0.001,0.001,0,LT,NL
0.001,0.001,0.001,0,IE,BE
0.001,0.001,0.001,0,IS,DK
0.001,0.001,0.001,0,NO,DK
0.371,0.371,0.371,0,DE,DK
0.001,0.001,0.001,0,EE,DK
0.001,0.001,0.001,0,SE,DK
0.001,0.001,0.001,0,RU,DK
0.001,0.001,0.001,0,UA,PL
0.001,0.001,0.001,0,BY,PL
0.001,0.001,0.001,0,DE,PL
0.001,0.001,0.001,0,CZ,PL
0.001,0.001,0.001,0,LT,PL
0.001,0.001,0.001,0,CZ,DE
0.001,0.001,0.42,0,LU,DE
0.001,0.001,0.42,0,CH,DE
0.001,0.001,0.001,0,CY,DE
0.001,0.001,0.001,0,IL,DE
0.708,0.708,0.708,0,AT,DE
0.001,0.001,0.001,0,RU,DE
0.001,0.001,0.001,0,SK,CZ
0.42,0.42,0.001,0,FR,LU
0.42,0.42,0.001,0,CH,FR
0.001,0.001,0.001,0,ES,FR
0.001,0.001,0.001,0,UK,FR
0.42,0.42,0.42,0,IT,CH
0.001,0.001,0.001,0,ES,CH
0.001,0.001,0.001,0,ES,IT
0.42,0.42,0.42,0,MT,IT
0.001,0.001,0.001,0,AT,IT
0.395,0.395,0.395,0,GR,IT
0.001,0.001,0.001,0,RO,MD
0.001,0.001,0.001,0,HU,BG
0.001,0.001,0.001,0,MK,BG
0.001,0.001,0.001,0,RO,BG
0.001,0.001,0.001,0,TR,BG
0.395,0.395,0.395,0,GR,BG
0.001,0.001,0.001,0,TR,RO
0.001,0.001,0.001,0,HU,RO
0.001,0.001,0.001,0,AT,GR
0.001,0.001,0.001,0,UK,CY
0.001,0.001,0.001,0,LT,IL
0.338,0.338,0.338,0,HR,ME
0.001,0.001,0.001,0,RS,HU
0.001,0.001,0.001,0,HR,HU
0.001,0.001,0.001,0,SK,HU
0.001,0.001,0.001,0,AT,SK
0.001,0.001,0.001,0,ES,PT
0.001,0.001,0.001,0,UK,PT
0.338,0.338,0.338,0,SL,HR
0.338,0.338,0.338,0,AT,SL
0.001,0.001,0.001,0,LV,LT
0.001,0.001,0.001,0,UK,IS
0.001,0.001,0.001,0,UK,IE
